data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-11-11;83423.5741403739;previsao;90;10372914.777002981
2025-11-11;83423.5741403739;previsao;60;10372914.777002981
2025-11-12;72316.5745846178;previsao;60;10445231.3515876
2025-11-12;72316.5745846178;previsao;90;10445231.3515876
2025-11-13;81488.4569876413;previsao;90;10526719.80857524
2025-11-13;81488.4569876413;previsao;60;10526719.80857524
2025-11-14;78223.51222197356;previsao;90;10604943.320797214
2025-11-14;78223.51222197356;previsao;60;10604943.320797214
2025-11-15;71908.95677293639;previsao;90;10676852.27757015
2025-11-15;71908.95677293639;previsao;60;10676852.27757015
2025-11-16;11607.94537065112;previsao;60;10688460.222940803
2025-11-16;11607.94537065112;previsao;90;10688460.222940803
2025-11-17;82345.98213360723;previsao;60;10770806.205074409
2025-11-17;82345.98213360723;previsao;90;10770806.205074409
2025-11-18;78656.63724602642;previsao;60;10849462.842320435
2025-11-18;78656.63724602642;previsao;90;10849462.842320435
2025-11-19;75228.3502971896;previsao;60;10924691.192617625
2025-11-19;75228.3502971896;previsao;90;10924691.192617625
2025-11-20;89505.094352621;previsao;60;11014196.286970247
2025-11-20;89505.094352621;previsao;90;11014196.286970247
2025-11-21;109704.0308780594;previsao;60;11123900.317848306
2025-11-21;109704.0308780594;previsao;90;11123900.317848306
2025-11-22;90122.84775800454;previsao;90;11214023.16560631
2025-11-22;90122.84775800454;previsao;60;11214023.16560631
2025-11-23;13757.676555200436;previsao;90;11227780.84216151
2025-11-23;13757.676555200436;previsao;60;11227780.84216151
2025-11-24;80772.68067339747;previsao;60;11308553.522834908
2025-11-24;80772.68067339747;previsao;90;11308553.522834908
2025-11-25;85591.417437384;previsao;60;11394144.940272292
2025-11-25;85591.417437384;previsao;90;11394144.940272292
2025-11-26;85906.65228511719;previsao;60;11480051.59255741
2025-11-26;85906.65228511719;previsao;90;11480051.59255741
2025-11-27;93841.67697578004;previsao;90;11573893.269533189
2025-11-28;109525.34608405236;previsao;90;11683418.615617242
2025-11-29;102769.17136018124;previsao;90;11786187.786977423
2025-11-30;13686.438485419383;previsao;90;11799874.225462843
2025-12-01;89622.05320859575;previsao;90;11889496.278671438
2025-12-02;96274.99280169336;previsao;90;11985771.271473132
2025-12-03;75409.62814933006;previsao;90;12061180.899622463
2025-12-04;85320.6909829433;previsao;90;12146501.590605406
2025-12-05;102606.26079859106;previsao;90;12249107.851403996
2025-12-06;106871.58721903132;previsao;90;12355979.438623028
2025-12-07;13620.65104400327;previsao;90;12369600.089667032
2025-12-08;106264.1462331972;previsao;90;12475864.235900229
2025-12-09;108332.03756153448;previsao;90;12584196.273461763
2025-12-10;103479.96673471134;previsao;90;12687676.240196474
2025-12-11;119301.90406284158;previsao;90;12806978.144259315
2025-12-12;118942.80094682316;previsao;90;12925920.945206137
2025-12-13;116442.47409142886;previsao;90;13042363.419297567
2025-12-14;17935.38135440588;previsao;90;13060298.800651973
2025-12-15;105886.24320432395;previsao;90;13166185.043856297
2025-12-16;123123.28095313824;previsao;90;13289308.324809436
2025-12-17;117227.67952245752;previsao;90;13406536.004331892
2025-12-18;119077.32583473818;previsao;90;13525613.33016663
2025-12-19;127393.80622025592;previsao;90;13653007.136386886
2025-12-20;122436.12928189944;previsao;90;13775443.265668785
2025-12-21;17067.487899992488;previsao;90;13792510.753568778
2025-12-22;104681.61480780684;previsao;90;13897192.368376585
2025-12-23;126390.21065519394;previsao;90;14023582.579031778
2025-12-24;114720.18777814352;previsao;90;14138302.766809922
2025-12-25;113721.98055777016;previsao;90;14252024.747367691
2025-12-26;116665.70473575304;previsao;90;14368690.452103443
